dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,bwd_urg_flags,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_header_len,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,init_bwd_win_byts,active_mean,active_std,active_min,idle_mean,idle_std,idle_max,idle_min
443,23803.9493560791,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,5083.190112278523,84.01967127733096,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,42.00983563866548,42.00983563866548,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,51846.981048583984,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,3124.579227635173,57.86257828954024,25923.490524291992,25863.6474609375,51787.13798522949,59.84306335449219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38.57505219302683,19.287526096513414,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0.5,54.0,54.0,54.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,108,1,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,9606810.092926025,2,0,1506,0,1452.0,54.0,753.0,699.0,0.0,0.0,0.0,0.0,156.76379416607216,0.20818564962293779,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.20818564962293779,0.0,54,1452,753.0,699.0,488601.0,1,0,0,0,0,0,0,0.0,753.0,753.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,1506,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,55146.217346191406,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2194.166813661911,36.26722006052746,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.13361003026373,18.13361003026373,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,89074.85008239746,7,8,869,1763,243.0,54.0,124.14285714285714,76.78249162672543,646.0,54.0,220.375,222.31786787165802,29548.183326329538,168.39770132786592,6362.489291599819,12046.472476692716,36054.134368896484,0.0,64258.81385803223,10709.802309672037,23252.651051794433,62700.03318786621,73.90975952148438,52871.9425201416,7553.134645734514,11500.711995177653,26110.88752746582,0.0,0,0,0,78.58559395300409,89.81210737486182,54,646,175.46666666666667,177.24629442921756,31416.24888888888,1,0,0,0,0,0,0,1.1428571428571428,175.46666666666667,124.14285714285714,220.375,140,0.0,0.0,0.0,1331.0,6.0,943966.6256340886,7,869,8,4134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,318805.9329986572,4,5,1439,677,1277.0,54.0,359.75,529.5745344141842,437.0,54.0,135.4,151.08620056113665,6637.266691046532,28.230340368345363,39850.74162483215,86126.99475453363,265897.9892730713,0.0,295090.913772583,98363.63792419434,138820.12767842907,294684.88693237305,72.00241088867188,290828.9432525635,72707.23581314087,111962.08079110207,265897.9892730713,0.0,0,0,0,12.546817941486827,15.683522426858534,54,1277,235.11111111111111,386.9801730334355,149753.65432098767,1,0,0,0,0,0,0,1.25,235.11111111111111,359.75,135.4,80,0.0,0.0,0.0,0.0,0.0,0.0,4,1439,5,499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,407541.99028015137,7,7,2963,1190,2447.0,54.0,423.2857142857143,826.5551082285898,696.0,54.0,170.0,219.30213991529718,10190.360991134083,34.35228843628152,31349.383867703953,69816.26884278725,264343.9769744873,56.02836608886719,357105.016708374,59517.502784729004,130247.3315244704,350739.0022277832,65.08827209472656,364016.056060791,60669.3426767985,93734.71649772617,264343.9769744873,130.17654418945312,0,0,0,17.17614421814076,17.17614421814076,54,2447,296.64285714285717,617.8040150568853,381681.80102040817,1,0,0,0,0,0,0,1.0,296.64285714285717,423.2857142857143,170.0,140,0.0,0.0,0.0,0.0,0.0,0.0,7,2963,7,1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,33962.01133728027,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3562.804299142839,58.88932725855933,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,29.444663629279663,29.444663629279663,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,38215.87562561035,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3166.223408967552,52.33427122260417,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26.167135611302086,26.167135611302086,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,64627.885818481445,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,1872.2568202192062,30.946393722631505,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.473196861315753,15.473196861315753,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
